PlantNumber,PlantName,MaterialCode,MaterialDescription,Yards,Quantity,UnitOfMeasure,Total,Loads,OnHand,RequirementTime,Diff,RequiredLoads,BusinessDate
1,RIVERSIDE,1,CEMENT,10.00,3.40,TN,3.40,0.12,7.00,03:30,6.88,0.00,2026-06-29
1,RIVERSIDE,1,CEMENT,70.00,21.71,TN,45.83,1.60,7.00,06:29,5.40,0.00,2026-06-29
1,RIVERSIDE,1,CEMENT,45.00,14.07,TN,66.48,2.32,7.00,08:29,4.68,0.00,2026-06-29
1,RIVERSIDE,2,FLYASH,20.00,1.20,TN,1.80,0.06,5.00,04:30,4.94,0.00,2026-06-29
1,RIVERSIDE,2,FLYASH,20.00,1.24,TN,7.30,0.26,5.00,09:21,4.74,0.00,2026-06-29
1,RIVERSIDE,4,3/8 AGG,70.00,25.93,TN,53.84,1.88,29.00,06:29,27.12,0.00,2026-06-29
1,RIVERSIDE,9,W SAND,70.00,60.43,TN,119.35,4.17,56.00,06:29,51.83,0.00,2026-06-29
1,RIVERSIDE,20,WATER,70.00,3007.00,GL,5988.00,5988.00,9999999.00,06:29,9994011.00,0.00,2026-06-29
4,FONTANA,2,FLYASH,150.00,7.73,TN,18.54,0.65,1.00,03:57,0.35,0.00,2026-06-29
4,FONTANA,2,FLYASH,100.00,5.15,TN,31.42,1.10,1.00,05:37,-0.10,0.00,2026-06-29
4,FONTANA,2,FLYASH,50.00,2.28,TN,37.27,1.30,1.00,10:45,-0.30,3.00,2026-06-29
5,POMONA,26,TYPE V CEMENT,25.00,7.20,TN,7.20,0.25,4.00,06:17,3.75,0.00,2026-06-29
9,ARROWHEAD,1,CEMENT,23.25,7.90,TN,16.29,0.57,1.10,08:41,0.53,0.00,2026-06-29
9,ARROWHEAD,1,CEMENT,3.00,0.85,TN,25.52,0.89,1.10,11:31,0.21,0.00,2026-06-29
14,PASADENA,1,CEMENT,40.00,12.40,TN,48.43,1.69,2.50,09:07,0.81,0.00,2026-06-29
14,PASADENA,1,CEMENT,10.00,3.06,TN,51.48,1.80,2.50,10:25,0.70,0.00,2026-06-29
23,PARAMOUNT,1,CEMENT,130.00,40.34,TN,54.16,1.89,2.75,07:49,0.86,0.00,2026-06-29
23,PARAMOUNT,1,CEMENT,160.50,54.36,TN,108.52,3.79,2.75,08:59,-1.04,0.00,2026-06-29
23,PARAMOUNT,1,CEMENT,4.00,1.32,TN,138.56,4.84,2.75,11:24,-2.09,4.00,2026-06-29
24,RIALTO,1,CEMENT,70.00,20.97,TN,20.97,0.73,10.75,00:55,10.02,0.00,2026-06-29
24,RIALTO,1,CEMENT,238.00,70.42,TN,286.54,10.02,10.75,06:58,0.73,0.00,2026-06-29
24,RIALTO,1,CEMENT,10.00,4.00,TN,357.48,12.50,10.75,15:08,-1.75,3.00,2026-06-29
24,RIALTO,2,FLYASH,130.00,6.89,TN,42.40,1.48,2.25,06:58,0.77,0.00,2026-06-29
24,RIALTO,2,FLYASH,7.00,0.44,TN,46.64,1.63,2.25,00:26,0.62,0.00,2026-06-29
25,GARDENA,1,CEMENT,200.00,46.00,TN,119.60,4.18,16.25,02:59,12.07,0.00,2026-06-29
25,GARDENA,1,CEMENT,137.00,27.77,TN,373.20,13.05,16.25,09:20,3.20,0.00,2026-06-29
25,GARDENA,1,CEMENT,10.00,0.47,TN,412.51,14.42,16.25,13:12,1.83,0.00,2026-06-29
25,GARDENA,2,FLYASH,200.00,8.40,TN,21.84,0.76,1.75,02:59,0.99,0.00,2026-06-29
25,GARDENA,2,FLYASH,210.00,9.11,TN,39.35,1.38,1.75,04:27,0.37,0.00,2026-06-29
25,GARDENA,2,FLYASH,8.50,0.32,TN,44.59,1.56,1.75,08:53,0.19,0.00,2026-06-29
30,CORONA,148,PLC CEMENT,200.00,43.30,TN,71.45,2.50,2.75,01:57,0.25,0.00,2026-06-29
30,CORONA,148,PLC CEMENT,200.00,43.30,TN,158.05,5.53,2.75,03:57,-2.78,0.00,2026-06-29
30,CORONA,148,PLC CEMENT,60.00,12.99,TN,214.34,7.49,2.75,05:15,-4.74,5.00,2026-06-29
31,HESPERIA,1,CEMENT,60.00,17.20,TN,26.04,0.91,1.62,06:37,0.71,0.00,2026-06-29
31,HESPERIA,1,CEMENT,60.00,17.20,TN,43.24,1.51,1.62,07:07,0.11,0.00,2026-06-29
31,HESPERIA,2,FLYASH,20.00,1.13,TN,5.09,0.18,0.67,09:46,0.49,0.00,2026-06-29
