OrderNumber,CustomerNumber,CustomerName,DeliveryAddress,City,MixCode,MixDescription,PlantNumber,PlantName,ReadyMixTruckCount,Rate,StartTime,TravelMinutes,OrderedQuantity,DeliveredQuantity,LoadSize,Status,Salesperson,OrderDate
144,28560,YOCOM,655 S,ONTARIO,RRM26046,4000@56,30,CORONA,27,180.00,01:00,28,980.00,0.00,0.00,S,38,2026-06-29
182,28560,YOCOM,9399,DOWNEY,RRM26038,4000@56DAY,25,GARDENA,24,170.00,01:00,23,960.00,0.00,0.00,S,38,2026-06-29
364,28560,YOCOM,10670 6TH ST,RANCHO,16381A,"5000-1,ASH,.4",24,RIALTO,15,120.00,01:00,24,840.00,0.00,0.00,S,38,2026-06-29
143,28560,YOCOM,3560 E,ONTARIO,RRM23034,"4000@56DAY,.45",4,FONTANA,13,130.00,02:00,12,600.00,0.00,0.00,S,38,2026-06-29
236,22181,SANTANA,WILSON AVE &,RANCHO,54041C,4500P/,24,RIALTO,9,75.00,07:00,18,300.00,0.00,0.00,S,40,2026-06-29
204,05345,DRILL TECH,SR 57 & SR 60,DIAMOND,RRM23043,CIDH MASS,5,POMONA,8,120.00,23:59,7,300.00,0.00,0.00,S,52,2026-06-29
130,80520,GREENBEE,7199,RIVERSIDE,RS250T31,2500P1,1,RIVERSIDE,7,60.00,07:00,35,70.00,0.00,0.00,S,40,2026-06-29
605,28560,YOCOM,655 S,ONTARIO,RRM23067,3000,4,FONTANA,6,60.00,09:30,14,100.00,0.00,0.00,S,38,2026-06-29
188,42420,OLTMANS,12795 - 12905,VICTORVIL,RS400P41,"4000 3/8""",31,HESPERIA,4,30.00,06:00,14,80.00,0.00,0.00,S,40,2026-06-29
229,80520,GREENBEE,1574 PINTAIL,REDLANDS,RS250T31,2500P1,9,ARROWHEAD,4,60.00,07:00,0,150.00,0.00,0.00,S,40,2026-06-29
213,15000,MURRAY,2417 MCAINE,SAN,32513,1/4 SACK,14,PASADENA,3,20.00,09:00,52,100.00,0.00,0.00,S,62,2026-06-29
162,99991,FERMOL,231 RINMORE,CORONA,RS350B31,3500P/PL,30,CORONA,4,30.00,07:00,18,40.00,0.00,0.00,S,38,2026-06-29
